F_Zip_Code_ID,Restaurant_Info_ID,Restaurant_Name,Rating,Review_Count,Price,Restaurant_Address,Restaurant_City,Latitude,Longitude,Categories,Created_At
1,8,El Senor Taco,3.6,103,$,1517 E Florence Ave,Los Angeles,33.97499,-118.24696,Mexican,2025-04-13 14:10:08
1,12,Mi Pueblo Salvadorian Restaurant #1,4.5,33,$,1341 E Florence Ave,Los Angeles,33.974984,-118.250638,"Mexican, Breakfast & Brunch, Salvadoran",2025-04-13 14:10:08
1,13,Bangin Buns,3.3,110,$$,1457 E Florence Ave,Los Angeles,33.9753832831857,-118.248004452761,Fast Food,2025-04-13 14:10:08
3,20,Taqueria Tijuana,4.4,156,$,241 W Florence Ave,Los Angeles,33.974841,-118.277428,Mexican,2025-04-13 14:10:08
63,21,The Lobos Truck,4.4,1246,$,1542 Fishburn Ave,Los Angeles,34.0324167342026,-118.230380783429,"Food Trucks, American, Comfort Food",2025-04-13 14:10:08
1,27,Boys Burgers,4.0,99,$,1774 E Florence Ave,Los Angeles,33.97441,-118.24087,Burgers,2025-04-13 14:10:08
1,36,La Zona Sushi,4.5,83,$$,1913 E Gage Ave,Los Angeles,33.9821249031109,-118.238637149334,Sushi Bars,2025-04-13 14:10:08
1,38,L.A. Crazy Crab,4.4,113,$$,1415 E Gage Ave,Los Angeles,33.9828981575302,-118.249943533131,"Seafood, Cajun/Creole",2025-04-13 14:10:08
11,40,Granny's Kitchen,3.8,471,$$,5440 S Central Ave,Los Angeles,33.9930975470943,-118.256304330019,"Soul Food, Southern",2025-04-13 14:10:08
11,44,Delicious at The Dunbar,4.0,239,$$,4229 S Central Ave,Los Angeles,34.00668,-118.25665,"Southern, Breakfast & Brunch, Cocktail Bars",2025-04-13 14:10:08
1,52,Mariscos Mi Lindo Nayarit,3.3,304,$$,1020 E Florence Ave,Los Angeles,33.97452,-118.25672,"Mexican, Seafood",2025-04-13 14:10:08
58,56,Novacane Sports Bar & Grill,4.3,376,$$,5812 S Santa Fe Ave,Los Angeles,33.9897791636333,-118.22994456257,"Sports Bars, Mexican, Cocktail Bars",2025-04-13 14:10:08
62,58,FUEGOS LA,5.0,23,$$,3957 S Western Ave,Los Angeles,34.012625,-118.309256,"Empanadas, Food Delivery Services, Argentine",2025-04-13 14:10:08
11,59,La Carreta,4.2,227,$,1471 E Vernon Ave,Los Angeles,34.0039974,-118.2479378,Mexican,2025-04-13 14:10:08
3,61,Casa Noodle Teriyaki,4.3,162,$,5930 S Main St,Los Angeles,33.9863921172316,-118.273553013834,"Japanese, Noodles",2025-04-13 14:10:08
3,64,El Tacorin,4.8,86,$,8215 S Broadway,Los Angeles,33.9645896015065,-118.278551007782,Mexican,2025-04-13 14:10:08
3,70,The Burger Palace,4.2,80,$,100 E Manchester Ave,Los Angeles,33.9599551,-118.2737099,Burgers,2025-04-13 14:10:08
3,71,Roscoe's House of Chicken & Waffles - South LA,3.5,736,$$,106 W Manchester Ave,Los Angeles,33.9602011147858,-118.273392169312,"Soul Food, Waffles, Chicken Shop",2025-04-13 14:10:08
11,73,Served 2 Enjoy,4.8,77,$$,4624 S Avalon Blvd,Los Angeles,34.0008009,-118.265021,"Mexican, Salad, Breakfast & Brunch",2025-04-13 14:10:08
11,76,El Taco Mexicano No 2,4.3,105,$,1300 E Vernon Ave,Los Angeles,34.00369,-118.25186,Mexican,2025-04-13 14:10:08
1,78,La Michoacana Ice Cream,2.0,11,$$,1500 E Florence Ave,Los Angeles,33.974533,-118.247428,"Ice Cream & Frozen Yogurt, Creperies, Sandwiches",2025-04-13 14:10:08
37,80,Chicharroland,4.7,138,$$,4714 S Main St,Los Angeles,34.0005895363191,-118.273852172009,Mexican,2025-04-13 14:10:08
37,90,Ying Hana Teppanyaki,4.7,46,$$,4400 S Broadway,Los Angeles,34.0035642691402,-118.277705275484,"Teppanyaki, Asian Fusion",2025-04-13 14:10:08
